STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
1,1000,500000,0.0002,0.1,57133,83846,2.402,68.14
1,1000,500000,0.001,0.1,61300,116731,2.575,52.52
1,1000,500000,0.005,0.1,60534,124876,2.542,48.476
1,1000,500000,0.01,0.1,60576,124509,2.543,48.653
1,1000,500000,0.05,0.1,60347,126439,2.536,47.731
1,1000,500000,0.1,0.1,60447,125698,2.539,48.09
1,1000,500000,0.2,0.1,60402,125561,2.535,48.108
1,1000,500000,0.5,0.1,60376,125233,2.535,48.211
1,1000,500000,1,0.1,60278,126078,2.529,47.812
