STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
0,1000,500000,0.0002,0.1,35276,211664,1.482,16.666
0,1000,500000,0.001,0.1,31829,226958,1.338,14.024
0,1000,500000,0.005,0.1,31389,230262,1.317,13.632
0,1000,500000,0.01,0.1,31375,230706,1.318,13.6
0,1000,500000,0.05,0.1,31507,231966,1.32,13.582
0,1000,500000,0.1,0.1,31320,231199,1.315,13.547
0,1000,500000,0.2,0.1,31383,231492,1.317,13.557
0,1000,500000,0.5,0.1,31378,231590,1.317,13.549
0,1000,500000,1,0.1,31388,231573,1.321,13.555
