STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
4,1000,500000,0.0002,0.1,54393,70141,2.283,77.547
4,1000,500000,0.001,0.1,62112,103853,2.607,59.808
4,1000,500000,0.005,0.1,62104,110242,2.609,56.335
4,1000,500000,0.01,0.1,61961,111333,2.602,55.654
4,1000,500000,0.05,0.1,61720,112283,2.592,54.97
4,1000,500000,0.1,0.1,61805,111818,2.598,55.274
4,1000,500000,0.2,0.1,61803,112116,2.597,55.125
4,1000,500000,0.5,0.1,61843,112223,2.596,55.107
4,1000,500000,1,0.1,61668,112220,2.589,54.953
