STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
2,1000,500000,0.0002,0.1,59553,87369,2.5,68.163
2,1000,500000,0.001,0.1,60438,113042,2.537,53.465
2,1000,500000,0.005,0.1,60260,117603,2.531,51.243
2,1000,500000,0.01,0.1,60276,118216,2.533,50.989
2,1000,500000,0.05,0.1,59850,118968,2.514,50.309
2,1000,500000,0.1,0.1,59944,118352,2.518,50.65
2,1000,500000,0.2,0.1,60054,118656,2.517,50.613
2,1000,500000,0.5,0.1,60003,118700,2.521,50.55
2,1000,500000,1,0.1,60020,118771,2.526,50.535
