STRATEGY,NODES,TICKS,P_PACK_GEN,EPSILON,SUCC_TRANS,TOT_TRANS,THROUGHPUT,PDR
3,1000,500000,0.0002,0.1,53408,67980,2.244,78.566
3,1000,500000,0.001,0.1,61823,97646,2.597,63.313
3,1000,500000,0.005,0.1,62260,103209,2.619,60.324
3,1000,500000,0.01,0.1,62093,104322,2.604,59.521
3,1000,500000,0.05,0.1,62333,104722,2.615,59.523
3,1000,500000,0.1,0.1,62157,104916,2.611,59.245
3,1000,500000,0.2,0.1,62241,104583,2.615,59.513
3,1000,500000,0.5,0.1,62140,104883,2.613,59.248
3,1000,500000,1,0.1,62192,104742,2.614,59.376
